Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Fecha alta,Cant. Alumnos,Asignación parcial ($),Asignación final ($),Promedio nota alumnos
Santa Fe,820236300,ESCUELA NRO 35 GOBERNADOR MARIANO CABAL,Estatal,Rural,SAN MARTIN 337  ,S3092,3497,493039*3196,28715,2551,0,0,6
Santa Fe,820405800,ESCUELA ESPECIAL NRO 2118 PARA SORDOS E HIPOACUSICOS,Estatal,Urbano,DORREGO 1422  ,S2200,3476,435461,20809,3129,0,0,7
Santiago del Estero,860193806,AGRUPAMIENTO Nº 86138 ESC Nº 103,Estatal,Rural,Calle Publica   LOMITAS,G4200,1,1,18138,3791,0,0,4
Ciudad de Buenos Aires,20038600,PROVINCIA DE JUJUY,Estatal,Urbano,OBRERO ROBERTO NUÑEZ 4355 ALMAGRO ,C1182,11,4862-4789,20372,4987,0,0,9
Misiones,540003401,Aula Sat. Nº 01: ESC. Nº 89,Estatal,Rural,RUTA PCIAL. Nº 204    RUTA PCIAL. Nº 204 ,N3304,376,154362049,19048,2864,0,0,3
Buenos Aires,60191300,ESCUELA DE EDUCACIÓN PRIMARIA Nº97 JUANA MANSO DE NORONHA,Estatal,Urbano,AVELINO DIAZ Y TIERRA 500  VTE LOPEZ,1772,11,4462-4514,18105,2309,0,0,8
Mendoza,500032602,SANTE ERMINIO ARBOIT,Estatal,Rural,   San Juan s/n,5579,263,154477706,20233,2710,0,0,9
Santiago del Estero,860196902,AGRUPAMIENTO Nº 86104 ESC. Nº 1197,Estatal,Rural,   JUMIALITO,G4300,,,32839,3838,0,0,3
Mendoza,500135800,INST. DE FOR.DOCENTE GRAL.J.DE SAN MARTIN (9-001),Estatal,Urbano,CHUBUT 110 CIRCULO MEDICO I ,M5570,263,4420888,24037,3857,0,0,8
Mendoza,500044300,VICENTE ORTIZ,Estatal,Rural,  02622-1577277 RUTA NAC.40 KM.3186,M5569,2622,446353 d,18997,2190,0,0,4
Santiago del Estero,860145600,CENTRO COMUNITARIO RURAL EVANGELICO,Privado,Rural,RUTA PROVINCIAL N°18    BREA POZO,G4313,385,156885280,18981,2986,0,0,4
Córdoba,140074002,ESCUELA NOCTURNA REPUBLICA DE CHILE EXTENSION AULICA Bº MARQUES DE SOBREMONTE,Estatal,Urbano,PEREZ CORREA 1500 MARQUEZ DE SOBREMONTE ANEXO ,X5008,0,0,20686,4200,0,0,6
Tucumán,900182900,INST. PETER PAN,Privado,Urbano,Las Heras 421  ,T4000,0,4244447,18532,3603,0,0,4
Santa Fe,820400100,JARDIN DE INFANTES NRO 232,Estatal,Urbano, AVENIDA CASIANO CASAS 1050 PARQUE CASAS ,S2000,341,4726547,22466,4656,0,0,4
Río Negro,620101436,CENTRO EDUCATIVO PARA JOVENES Y ADULTOS,Estatal,Rural,   ,,,,18321,3156,0,0,3
Jujuy,380019400,ESCUELA ESPECIAL N 11 PROF. LUIS BRAILLE,Estatal,Urbano,RIO ATHUEL 485 SAN IGNACIO DE LOYOLA ,Y4612,388,4277444,34113,2327,0,0,3
La Rioja,460047700,ESC.N°255 DR.JOAQUIN V.GONZALEZ,Estatal,Urbano,ROQUE SAENZ PEÑA S/N° KOLPING ,F5470,,03821-429136,25001,4957,0,0,8
Santa Fe,820019700,ESCUELA ESPECIAL NRO 2028 PROFESORA RAQUEL PIETRANERA,Estatal,Urbano,25 DE MAYO 2379 CENTRO ,S3000,342,4572913,21021,1739,0,0,7
Santiago del Estero,860223606,Agrupamiento 86146 Esc. N° 490,Estatal,Rural,   ,,,,31205,4102,0,0,3
Ciudad de Buenos Aires,20125500,TOMAS MANUEL DE ANCHORENA,Estatal,Urbano,DR. TOMAS MANUEL DE ANCHORENA 855 BALVANERA ,C1170,11,4961-3386,28134,3245,0,0,4
La Pampa,420046602,J.I.N. Nº 16 en Escuela Nº 196,Estatal,Urbano,25 de Mayo 237  ,L6221,2302,481186,29028,2153,0,0,8
Santa Cruz,780008800,ESCUELA PRIMARIA PROVINCIAL Nº 55 VAPOR TRANSPORTE VILLARINO,Estatal,Urbano,AV. PRESIDENTE PERON 454  ,Z9400,2966,427497,18403,2497,0,0,10
Santa Fe,820139600,JARDIN DE INFANTES NRO 77 JUAN RODOLFO BOLLA,Estatal,Urbano,SARGENTO CABRAL 1325 EL FORTIN ,S2506,3471,492020,33005,2382,0,0,9
Entre Ríos,300108600,OLEGARIO V.ANDRADE TECNICA 2,Estatal,Urbano,ALFREDO PALACIOS 83  ,E2840,3444,423467,25233,4552,0,0,5
Jujuy,380093600,COLEGIO NUEVO HORIZONTE N 1,Social/cooperativa,Urbano,MNA AP 27 LOTE 6  47 HECT. ALTO COMEDERO ,4600,388,4054190,19342,3209,0,0,3
San Luis,740071000,ESCUELA DE NIVEL INICIAL Nº 9 SEÑORA CHABELA,Estatal,Urbano,PEDERNERA 1638  ,6277,266,4452000,18944,1920,0,0,5
Santa Fe,820303716,CE.C.LA. S/N NUEVA ROMA,Estatal,Urbano,MENDOZA 1585 NUEVA ROMA ,S2170,3464,426080,30797,3135,0,0,3
Santa Fe,820254300,E.E.S. ORIENTADA NRO 330 REPÚBLICA DE GRECIA,Estatal,Urbano,AVENIDA SAN MARTIN 2050 CENTRO RUTA NAC.N 11,S2152,341,4710320,30587,2134,0,0,8
Río Negro,620101442,CENTRO EDUCATIVO PARA JOVENES Y ADULTOS,Estatal,Rural,LOS COIRONES Y AIMÉ PAINÉ   ,R8412,-,-,30169,4790,0,0,7
Santa Fe,820323301,C.E.R. NRO 280 GOBERNADOR IGNACIO CRESPO,Estatal,Rural,   ZONA RURAL,S3015,3404,460068,31406,3864,0,0,5
Santa Fe,820120100,ESCUELA NRO 935 AVELINO MENDOZA,Estatal,Rural,   CAMPO MENDOZA,S3567,3482,15666189,19118,4331,0,0,10
Santa Fe,820428500,E.E.S. ORIENTADA NRO 504 MARGARITA BOCHETTO,Estatal,Rural,DOMINGO FAUSTINO SARMIENTO 245  ,S2301,3492,482240,25680,3465,0,0,6
Buenos Aires,60380200,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 JULIO A. ROCA,Estatal,Urbano,PASEO LUIS F. LELOIR / AV. DEL PARQUE 907  ,7607,2291,43-3311,33172,4195,0,0,3
Ciudad de Buenos Aires,20081600,EI Nº 06 DE 06 (HOSP. RAMOS MEJIA),Estatal,Urbano,VENEZUELA 3158 BALVANERA ,C1211,11,4957-7973,24417,3813,0,0,8
Buenos Aires,60125800,ESCUELA DE EDUCACIÓN PRIMARIA Nº16 25 DE MAYO,Estatal,Rural,21 E/ 41 Y42. S/N  LUCAS MONTEVERE,6660,2345,439408,28142,4988,0,0,5
Santa Fe,820152600,ESCUELA NRO 148 BERNARDO MONTEAGUDO,Estatal,Rural,SARMIENTO Y BELGRANO S/N  ,S2119,3402,461512,21974,1863,0,0,4
Entre Ríos,300056900,JUAN ZORRILLA DE SAN MARTIN 109,Estatal,Rural,CALLE 9   ,E2821,0,0,31012,2809,0,0,3
Formosa,340032300,EPEP Nº203 CIUDAD DE LUJAN,Estatal,Rural,CIRILO PATIÑO   BANCO PAYAGUA,P3601,,,25204,1608,0,0,4
Mendoza,500089500,MANUEL VIDELA,Estatal,Urbano,SOLARI S/N VILLA GRACIELA NAHUEL HUAPI Y SOLARI,M5525,261,4910044,18562,1551,0,0,6
Misiones,540116103,Aula Sat. Nº 03: ESC. Nº 120,Estatal,Urbano,CAMINO VEC.INTERSEC.Ruta Nac.15- KM 18   PARAJE EL CEIBO- RUTA 15- KM. 18,N3364,3755,491720/640423/15430103,22446,4959,0,0,3
Mendoza,500154100,CRECER JUNTOS,Social/cooperativa,Urbano,TERRADA S/N LA GLORIA TERRADA Y CARRODILLA,M5501,,4-361725,28410,3162,0,0,3
Buenos Aires,60336700,CENTRO DE ADULTOS Nº701 MARIANO MORENO,Estatal,Urbano,ITALIA 395  ,7263,,,24397,4229,0,0,9
Corrientes,180082700,ESCUELA PRIMARIA Nº 441,Estatal,Rural,   PAGO ARIAS,W3420,3782,439695,30469,2985,0,0,4
Jujuy,380007000,ESCUELA N 309 PEDRO ORTIZ DE ZARATE,Estatal,Rural,RUTA N 6  CENTRO ,Y4501,388,4470001,24969,1736,0,0,10
Misiones,540152200,ESC. ESPECIAL Nº 48 (Ex Aula Sat. Esc. Especial Nº 05),Estatal,Urbano,Juan Domingo Perón  30 Viviendas J.D.Perón y Ucrania,N3307,376,154100385,21230,4320,0,0,9
Córdoba,140066300,ESCUELA JOSE MARIA PAZ,Estatal,Rural,CALLE PUBLICA   BELEN P/SARMIENTO,X5221,3525,15643901,21273,3683,0,0,9
La Rioja,460076600,CENTRO PROVINCIAL DE EDUCACION FISICA N°5,Estatal,Urbano,AVDA.ORTIZ DE OCAMPO 1751 CENTRO ,F5300,,0380-4425583,30608,2824,0,0,7
Formosa,340094012,JIN Nº 36 - EPEP Nº 486,Estatal,Rural,   ,,3718,615813,23564,3169,0,0,3
Entre Ríos,300056700,VICENTE LOPEZ Y PLANES 1,Estatal,Urbano,ANTELO 625  ,E3180,3454,421045,22324,4281,0,0,7
Jujuy,380072600,HOGAR ESCUELA N 1 JOSE DE LA IGLESIA,Estatal,Urbano,AV. ESPAÑA 1660 CENTRO ,Y4600,388,4227313,28852,2250,0,0,3
Jujuy,380080800,ESCUELA PROVINCIAL AGROTECNICA N 5,Estatal,Urbano,JOSE MARIA FASCIO  CENTRO ,Y4506,1,1,24762,3625,0,0,3
Santa Fe,820215300,JARDIN DE INFANTES NRO 127 JUAN CHARA,Estatal,Urbano,CALLE 37 ESQUINA 14   ,S3586,3482,451376,19879,4113,0,0,5
Mendoza,500268800,CENTRO DE APOYO EDUCATIVO NIÑO JESUS DE PRAGA,Social/cooperativa,Urbano,LA GLORIA S/N   FINCA ATAMISQUI,5561,2622,15466073,30344,4307,0,0,9
Santa Fe,820379400,NRO 2053 COLEGIO MAYOR UNIVERSITARIO,Privado,Urbano,SAN JERONIMO 3328  ,S3000,342,4534198,30376,2569,0,0,7
Corrientes,180020400,ESCUELA PRIMARIA Nº 714,Estatal,Rural,   SARANDI- 1º SECCION,W3194,0,0,24761,4362,0,0,8
Formosa,340001900,EPEP N° 55 DR. MARIANO BOEDO,Estatal,Rural,   MARIANO BOEDO,P3604,,434243,28857,3927,0,0,6
Santa Fe,820202500,E.E.S. ORIENTADA NRO 374 MAESTRO CARLOS ALBERTO LEIVA,Estatal,Urbano,GABOTO 703  ,S2204,3476,495151,24846,4022,0,0,10
La Pampa,420096400,Jardin Maternal y de Infantes Nenos,Privado,Urbano,Urquiza 675 Centro ,6300,2954,15612388,20247,1635,0,0,7
Mendoza,500081900,MARIA C. BASAURE DE MARTINEZ,Estatal,Urbano,CADETES CHILENOS 688 SANTA ELVIRA LAS CAÑAS,M5519,,4-222230,19351,4142,0,0,3
Misiones,540100000,ESC. Nº 310: BRIGADIER GRAL. JUAN MANUEL DE ROSAS,Estatal,Urbano,  NUEVO BARRIO NUEVO,N3328,3764,15352713/3743541076,34764,2592,0,0,4
Santa Fe,820165101,C.E.R. NRO 412,Estatal,Rural,   ESTANCIA LA MARGARITA,S3060,3491,470229,28741,2767,0,0,3
Santiago del Estero,860194100,CENTRO DE ATENCION MULTIPLE LOS TELARES - SALAVINA,Estatal,Urbano,AV. JUSTICIALISTA  Santa Rita ,G4321,,,31632,1710,0,0,10
Buenos Aires,60543000,JARDÍN DE INFANTES Nº901 CONSTANCIO C VIGIL,Estatal,Urbano,8 ENTRE 13 Y 14 2462  ,7105,2257,520417,33856,4701,0,0,5
Río Negro,620045800,ESCUELA HOGAR NRO.158    SAN IGNACIO DE LOYOLA,Estatal,Rural,   ,R8403,-,-,21447,2818,0,0,7
Corrientes,180020900,ESCUELA PRIMARIA P/ADOLESC.Y ADULTOS Nº 51,Estatal,Urbano,JULIO ARGENTINO ROCA  BARRIO 202 ,W3342,3756,448431,33410,4178,0,0,3
Catamarca,100013100,ESCUELA N° 155,Estatal,Rural,   SINGUIL,K4711,,,25797,4910,0,0,8
Mendoza,500277000,IPPD INNOVATIO 2535,Privado,Urbano,AVELLANEDA  351  ,5600,261,4418003,18562,2260,0,0,9
Chubut,260052501,ANEXO ESCUELA Nº451,Estatal,Urbano,Trevelin Norte  736 Inta ,9100,280,4446300,22787,3701,0,0,4
Santiago del Estero,860010000,ESCUELA Nº518,Estatal,Rural,HUAICO HONDO   A 48 KM.AL N.O DE LA CAP.X RUTA 9 ENTRANDO X CAM. VECINAL,G4200,,,34264,4299,0,0,3
Tucumán,900042400,ESC. DOMICILIARIA ELIZABETH KENNY,Estatal,Urbano,CHARCAS 82  PREDIO FERIAL NORTE,T4000,381,4213081,27912,4674,0,0,8
"Santa Fe,820392008,CENTRO DE ALFABETIZACION NRO 310,Estatal,Urbano,RUTA 19 - KM 3;5   FUNDACION RENACER,S3016,0,0,25437,4098,0,0,5"
Mendoza,500277900,ARCO IRIS,Social/cooperativa,Rural,Angelino Arenas s/n   Angelino Arenas y Godoy Cruz,5585,2634,15504468,19189,4289,0,0,7
Buenos Aires,60057900,ESCUELA DE EDUCACIÓN PRIMARIA Nº12 MARIANO MORENO,Estatal,Rural,SECCION RURAL S/N  HUSARES,6455,2355,15-52-1420,33054,3747,0,0,3
Misiones,540176800,B.O.P. Nº 81,Estatal,Rural,ANDRES MARTIN ZUCOWSKI S/N  CENTRO ,3313,376,4617980/4717253,24920,4699,0,0,4
Santa Fe,820012300,ESCUELA NRO 57 JUANA ELENA BLANCO,Estatal,Urbano,PASCO 453 REPUBLICA DE LA SEXTA ,S2000,341,4728672,20246,4701,0,0,7
Santa Fe,820297202,C.E.R. NRO 637,Estatal,Rural,   CAMPO BARATTI,S2222,3476,497046,20286,3601,0,0,7
Buenos Aires,60360700,ESCUELA DE EDUCACIÓN PRIMARIA Nº30 PBRO. VICENTE MONTE CARBALLO,Estatal,Urbano,EL PICAFLOR S/N  BARRIO SAN ANTONIO,6700,2323,42-7508,30598,4407,0,0,9
Buenos Aires,60371300,JARDÍN DE INFANTES Nº923 DR. JUAN GRECO,Estatal,Urbano,156 E/ 8 Y 9 856  VILLA OLIVERO,1884,11,4226-4006,19864,2312,0,0,5
Corrientes,180024501,EXTENSION AULICA QUE FUNCIONA EN LA ESC.Nº 825 (ESC.NORMAL DR.VICTOR M.LOPEZ),Estatal,Rural,   ,,,,34130,4081,0,0,7
Santa Fe,820415200,JARDIN DE INFANTES NRO 264 EL HORNERITO,Estatal,Rural,SARMIENTO 333  ,S2176,3465,491500,30448,4938,0,0,7
Tucumán,900006200,ESC. EL PUESTITO DE ARRIBA,Estatal,Rural,   EL PUESTITO DE ARRIBA,T4119,0,3815459511,22674,1606,0,0,3
Santa Fe,820410800,JARDIN DE INFANTES NRO 259 LIBERTAD E INDEPENDENCIA,Estatal,Urbano,WARNES 1002 SARMIENTO ,S2000,341,4726578,33661,2610,0,0,5
Mendoza,500113201,BLAS PARERA,Estatal,Urbano,PUBLICA 7 SAN GABRIEL TICLE Y CALLE PUBLICA N° 7,M5572,261,0,25975,3720,0,0,4
Santiago del Estero,860097400,ESCUELA N° 302 NACHI GOMEZ / JI 824,Estatal,Rural,LA SALVACION   LA SALVACION,G3714,,,24986,4388,0,0,7
Buenos Aires,60042200,JARDÍN DE INFANTES NUESTRA SEÑORA DE LA MERCED,Privado,Urbano,JUNIN E/ TRES DE FEBRERO Y J.C.PAZ 260  ,1651,11,4755-1388,29988,4350,0,0,6
Buenos Aires,60074300,ESCUELA DE ADULTOS Nº709 BENITO LINCH,Estatal,Rural,BUENOS AIRES Y RUTA PCIAL.53 KM.15.500 S/N  LA CAPILLA,1888,225,49-8005,19759,3197,0,0,10
Santiago del Estero,860154300,ESCUELA PARA ADULTOS Nº6 LEOPOLDO HERRERA,Estatal,Urbano,Avda. Victor Yunes   Siglo XXI ,G4200,,,34916,1528,0,0,5
Santa Fe,820215200,ESCUELA NRO 318 BERNARDO O'HIGGINS,Estatal,Rural,   CAMPO STANGAFERRO,S3592,3482,451024,23524,1741,0,0,9
Mendoza,500230300,ESCUELA Nº 3-501 (C.E.N.S.),Estatal,Urbano,  YAPEYU AYACUCHO Y SALTA S/N,M5539,,,28342,2985,0,0,3
Buenos Aires,60318800,JARDÍN DE INFANTES MARCELINO,Privado,Urbano,MANSILLA Y SASTRE (VILLA MARISTA)   VILLA MARISTA,7600,223,479-4877,27227,2988,0,0,9
Entre Ríos,300068500,EL ARRIERO 85,Estatal,Rural,   ZONA RURAL EL PINGO,E3132,,,23398,4207,0,0,10
Río Negro,620042700, ESCUELA SECUNDARIA RIO NEGRO NRO. 2 FUNDACION SARA M.FURMAN,Estatal,Urbano,CERRO OTTO 865 RAYEN MAPU ,R8400,294,441435,20297,4892,0,0,7
Ciudad de Buenos Aires,20030200,CNEL CARLOS TOMAS SOURIGUES,Estatal,Urbano,DR. JUAN FELIPE ARANGUREN 2400 FLORES ,C1406,11,4613-2865,28627,2304,0,0,6
Mendoza,500270600,INGENIERO GIAGNONI,Social/cooperativa,Rural,   MILORDO Y ABRUZZESE,5582,263,4288157,24387,1874,0,0,4
Salta,660052600,COLEGIO SECUNDARIO BATALLA DE SALTA EX N° 34,Estatal,Urbano,HOUSSAY 599 CASTAÑARES ,A4400,387,4250357,29997,2075,0,0,5
Santa Fe,820308500,ESCUELA ESPECIAL NRO 2039,Estatal,Urbano,REMEDIOS ESCALADA DE SAN MARTIN 402 MALVINAS ARGENTINAS ,S2340,3491,420723,30630,2901,0,0,4
San Juan,700086900,JARDIN MATERNAL PICARDIAS,Privado,Urbano,RASTREADOR CALIVAR 542 (S) 542  ,,,,28102,2069,0,0,4
Mendoza,500039500,MAESTRO ALBERTO RODOLFO ACEVEDO,Estatal,Rural,   LA REDUCCION S/N,M5579,263,4533306,23110,3548,0,0,5
Santa Fe,820023808,C.E.P.A. NRO 150,Estatal,Urbano,SAENZ PEÑA 105  ,S2609,3462,480347,34474,1945,0,0,4
Mendoza,500195201,MERCEDES SOSA,Estatal,Urbano,   LATERAL S ACCESO ESTE (Universidad Maza),5519,261,4456877,18495,4649,0,0,10
Santiago del Estero,860175900,JARDIN DE INFANTES PRIVADO HUILEN,Privado,Urbano,Avellaneda 536 Parque Entre Olaechea y Av. Roca,G4200,385,4213124,20428,4732,0,0,7
Río Negro,620026600,ESCUELA PRIMARIA NRO.275 VIALIDAD NACIONAL,Estatal,Urbano,3 DE FEBRERO 2559 AEROCLUB EEBA 1 CTRO. 4,R8332,298,4436103,29942,2762,0,0,3
Mendoza,500205800,FRANCISCO MIGUEL MANZANO (ESC. 1-273),Estatal,Rural,  0261-155985808 LA RIOJITA-RUTA 92-KM.14 S/N,M5565,,02622-492400,25350,3575,0,0,10
Chaco,220026900,E.E.S. Nº 86 - BRIGADIER GRAL. C.SAAVEDRA (CEP Nº 86),Estatal,Rural,   Planta Urbana,H3515,,,18246,3980,0,0,5
Río Negro,620064903,CENTRO DE EDUCACION BASICA PARA ADULTOS NRO.21,Estatal,Urbano,AV. CACIQUE CATRIEL 777  ESC PRIA 281,R8307,-,-,33518,3990,0,0,5
La Rioja,460022300,E.P.E.T. N°2 BRIGADIER GENERAL JUAN FACUNDO QUIROGA,Estatal,Urbano,AVDA.JUAN DOMINGO PERON 820 CENTRO ,F5300,,0380-4468520,18793,3608,0,0,7
Tucumán,900028300,ESC. N° 318 - MARCOS SASTRE,Estatal,Rural,   ESCABA DE ARRIBA,T4158,,,34903,1815,0,0,7
Santa Fe,820373000,E.E.M.P.A. NRO 1238 RAUL SCALABRINI ORTIZ,Estatal,Urbano,GENERAL MITRE 1350  ,S2146,3401,448222,30063,4778,0,0,10
Santa Fe,820132000,ESCUELA ESPECIAL DE FORMACION LABORAL NRO 2060,Estatal,Urbano,CALLE 17 981 LOURDES ,S3561,3482,483027,25025,4380,0,0,4
Jujuy,380033300,ESCUELA N 317 MALVINAS ARGENTINAS,Estatal,Rural,   ,Y4644,1,1,32459,3559,0,0,6
Santa Fe,820205700,ESCUELA PART. INC. NRO 1039 SAN FRANCISCO,Privado,Rural,PLANTA URBANA S/N   ,S6106,3382,498017,34330,3845,0,0,10
Misiones,540146500,ESC. ADULTOS Nº 63,Estatal,Urbano,BOUCEVARO SAN ISIDRO  SAN ISIDRO -( YACYRETA) ,N3300,3764,565838,33184,4658,0,0,3
Formosa,340026609,NEP Y FP Nº20 - EPEP Nº455,Estatal,Rural,   EPEP Nº455,P3636,,,22183,4893,0,0,10
Neuquén,580012600,ESCUELA PRIMARIA 132 CEFERINO NAMUNCURA,Estatal,Urbano,PURRAN CACIQUE 499 LA SIRENA ,8300,299,4487652,26465,3654,0,0,3
Chaco,220031300,E.E.P. Nº  806,Estatal,Rural,   LEGUA A-LOTE 50-PJE.ALTA ESPERANZA,H3714,3877,495392,22750,3885,0,0,5
Santa Fe,820251700,E.E.S. ORIENTADA PART. INC. NRO 8032 SANTA ROSA,Privado,Urbano,BELGRANO 871 CENTRO I ,S2600,3462,421335,28062,1504,0,0,4
Santa Fe,820105500,ESCUELA PART. INC. NRO 1043 SAN JOSE,Privado,Urbano,ESTANISLAO LOPEZ 85 CENTRO ,S2322,3493,420218,26805,2387,0,0,8
Entre Ríos,300013800,BLANCO ENCALADA 13,Estatal,Urbano,EVA PERON 651  ,E3164,343,4901036,30534,4453,0,0,6
Chubut,260075100,COLEGIO Nº 7722,Estatal,Urbano,Pasteur 1230 Buenos Aires Comparte edificio con la Escuela Nº 8,9200,2945,453912,22493,3704,0,0,8
San Juan,700006600,JUAN JOSÉ DE VERTIZ,Estatal,Rural,PRINCIPAL S/N   ,J5467,264,4302147,23932,4659,0,0,10
Buenos Aires,60044200,ESCUELA DE EDUCACIÓN PRIMARIA Nº22 JOSÉ HERNANDEZ,Estatal,Urbano,LUJAN ESQ. RAUCH S/N  ,7220,2271,44-3361,33652,2862,0,0,5
Tucumán,900219900,ESC. AGROTECNICA LOS PIZARROS,Estatal,Rural,2 DE ABRIL S/N   2 DE ABRIL Y PJE. MARIA AUXILIADORA,4162,381,,31289,2910,0,0,9
Buenos Aires,60397800,ESCUELA DE ADULTOS Nº707,Estatal,Urbano,G.MISTRAL E/ ZAMORA Y CONSTITUCION 312  ,1832,11,4202-0357,26965,4539,0,0,6
Chubut,260062200,COLEGIO PADRE LUCIO SABATTI,Estatal,Urbano,25 de Mayo 4681 INTA ,U9100,280,154673866,18724,3875,0,0,9
Buenos Aires,60074200,ESCUELA DE EDUCACIÓN SECUNDARIA Nº1,Estatal,Rural,AVELLANEDA Y PELLEGRINI S/N  ,6743,2352,49-3055,23709,1851,0,0,7
Formosa,340081407,JIN Nº 11 ESTRELLITA DE BELEN - EPEP Nº 530,Estatal,Urbano,AV. CARLOS SORRENTO CRITELLI  SAN BLAS LAGUNA BLANCA,P3613,,,30525,3181,0,0,3
Chubut,260083000,JARDIN MATERNO INFANTIL APRENDIJUEGOS Nº 1479 ,Privado,Urbano,AVENIDA ROCA 965  ,9000,297,4483107/0297,21734,1950,0,0,4
Santiago del Estero,860223004,Agrupamiento 86114/86073 Esc. N° 834,Estatal,Rural,   ,,,,26355,4649,0,0,7
Entre Ríos,300016500,SANTIAGO DE CHILE 18,Estatal,Rural,   COLONIA OFICIAL 5   GRAL CAMPOS,E3216,,,30123,2943,0,0,8
Buenos Aires,60333600,ESCUELA ESPECIAL Nº502 MERCEDES DE SAN MARTIN,Estatal,Urbano,CASTELLI E/CANAVESIO Y MORENO 223  Barrio Padres Gonzalez,6000,2362,43-4288,25917,3215,0,0,8
Chaco,220012003,E.E.P. Nº 801 -HUGO ANGEL CORONEL-,Estatal,Rural,LOTE 33   PARAJE EL ARENAL,,3644,507278,30813,4328,0,0,5
Santa Fe,820323501,C.E.R. NRO 265 BRIGADIER GENERAL JUAN GREGORIO LAS HERAS,Estatal,Rural,   PARAJE LAS HIGUERITAS,S3013,3404,420418,20569,4749,0,0,8
Mendoza,500193202,ESCUELA NEWTON,Privado,Urbano,Paul Groussac 1153  ,5501,261,4204647/5240831,27321,1598,0,0,4
Chubut,260050805,ESCUELA DE NIVEL INICIAL MUNICIPAL Nº 2404,Estatal,Urbano,Ceferino Namuncurá 354 Área 12 ,U9103,280,4482513,18033,3350,0,0,3
Entre Ríos,300154300,JOSE MARIA SOBRAL TECNICA 1,Estatal,Urbano,SAN MARTIN 1067  ,E2820,3446,424123,34450,2588,0,0,10
Mendoza,500021200,FRAY CAYETANO JOSE RODRIGUEZ,Estatal,Rural,BAJO LAS CUMBRES S/N   FINCA CARTELLONE - BAJO LAS CUMBRES S/N,M5509,261,153845538,30109,1582,0,0,9
Chaco,220015100,U.E.G.P. Nº15(U.E.P. Nº15)INSTITUTO PRIVADO CHACO,Privado,Urbano,RAUL B.DIAZ 150  ,H3500,362,4440144,29894,4472,0,0,6
Formosa,340101002,CBSR EPEP Nº 509,Estatal,Urbano,  LOTE 47 LOTE 47 - LAS LOMITAS,P3630,,,33982,2429,0,0,6
Santa Fe,820055003,NUCLEO III - JARDIN DE INFANTES NUCLEADO NRO 159,Estatal,Urbano,FREYRE 480 SARMIENTO ,S3560,3482,423408,18827,2130,0,0,8
Buenos Aires,60274600,INSTITUTO SANTA CLARA DE ASIS,Privado,Urbano,SALADO E/ ALVARELLOS Y AV. CRISTIANIA 65  SAN ALBERTO,1765,11,4694-9910,23063,2146,0,0,10
Corrientes,180021000,INSTITUTO VUELTA DEL OMBU I-38,Privado,Urbano,AV.CIRCUNVALACION SUR Y RUTA NAC.Nº 14   ,W3342,3756,482442/481064,28390,2144,0,0,3
Entre Ríos,300054200,EJERCITO ARGENTINO 59,Estatal,Rural,   DISTRITO SAUCE AL NORTE,E3174,0,0,24314,2378,0,0,10
Mendoza,500077301,PEDRO IGNACIO ANZORENA,Estatal,Urbano,  Jardín Aeroparque ,5539,261,0,24335,2773,0,0,6
Corrientes,180074900,ESCUELA PRIMARIA P/ADOLESC.Y ADULTOS Nº 26 MANUEL BELGRANO,Estatal,Urbano,BUENOS AIRES 1066  ,W3432,3777-,381907,25325,3082,0,0,10
Ciudad de Buenos Aires,20036800,ESCUELA DEL PARQUE,Privado,Urbano,BOGOTA 123 CABALLITO ,C1405,11,4958-6100,33642,2734,0,0,3
Tucumán,900220600,ESC. ESPECIAL A.L.P.I.,Estatal,Urbano,DELFIN GALLO 950  MISMA MANZANA QUE EL HOSPITAL AVELLANEDA,4000,,,22181,2061,0,0,3
Santa Fe,820168300,E.E.M.P.A. NRO 1207 8 de Septiembre,Estatal,Urbano,URUGUAY 1262 DOMINGO MATHEU ,S2000,341,4729725,26507,3814,0,0,9
Tucumán,900066600,ESC. RICARDO ROJAS,Estatal,Rural,CAMINO VECINAL S/Nº   1 KM AL SUR DE RUTA Nº 323 Y CAPILLA VIRGEN DESATANUDOS ,T4111,,,34752,4521,0,0,5
Ciudad de Buenos Aires,20125300,ESC. TEC. Nº 37 HOGAR NAVAL STELLA MARIS DE 11,Estatal,Urbano,PERGAMINO 211 FLORESTA ,C1406,11,4612-3220,20898,4880,0,0,6
Chaco,220012700,E.E.P. Nº  208,Estatal,Rural,   LOTE 221-PJE.PPA.ALSINA-COL.GRAL.NECOCHEA,H3718,3644,380921,24538,4770,0,0,9
Río Negro,620027300,ESCUELA PRIMARIA NRO.226 RUCA PUÑEÑ,Estatal,Urbano,RUTA NACIONAL 250 KM. 271   CUI 074,R8363,2946,497107,32945,4382,0,0,8
Córdoba,140106800,I.P.E.T. Nº 106 REMEDIOS ESCALADA DE SAN MARTIN,Estatal,Urbano,MALVINAS ARGENTINAS  MARIA AUXILIADORA SERREZUELA,X5270,3549,492070,21868,2175,0,0,5
